Reference, Value, Footprint, Datasheet
"U2","ATMEGA32U4","1800:TQFP-44_10x10mm_Pitch0.8mm",""
"R2","22R","1800:R_0805",""
"R1","22R","1800:R_0805",""
"Y1","16MHz","1800:X_SMD_5032-2pin_5.0x3.2mm",""
"C1","22pF","1800:C_0805",""
"C2","22pF","1800:C_0805",""
"C3","1uF","1800:C_0805",""
"R3","10kR","1800:R_0805",""
"C8","1uF","1800:C_0805",""
"C4","0.1uF","1800:C_0805",""
"C5","0.1uF","1800:C_0805",""
"C6","0.1uF","1800:C_0805",""
"C7","0.1uF","1800:C_0805",""
"USB1","MINI_USB","1800:USB_MINI_4FOOT",""
"U1","FSUSB42","1800:MSOP-10_3x3mm_Pitch0.5mm",""
"R4","10kR","1800:R_0805",""
"R5","10kR","1800:R_0805",""
"R6","330R","1800:R_0805",""
"R7","330R","1800:R_0805",""
"R8","330R","1800:R_0805",""
"LED1","LED","1800:LED_D3.0mm",""
"LED2","LED","1800:LED_D3.0mm",""
"LED3","LED","1800:LED_D3.0mm",""
"U3","74HC138","1800:SOIC-16_3.9x9.9mm_Pitch1.27mm",""
"U4","FE2.1","1800:LQFP-48_7x7mm_Pitch0.5mm",""
"C9","10uF","1800:C_0805",""
"C10","4.7uF","1800:C_0805",""
"C11","10uF","1800:C_0805",""
"L1","1uH","1800:L_0805",""
"F1","5V/2A","1800:F_1206",""
"C12","0.1uF","1800:C_0805",""
"R9","100kR","1800:R_0805",""
"R10","2.7kR","1800:R_0805",""
"R11","47kR","1800:R_0805",""
"R12","100kR","1800:R_0805",""
"C13","0.1uF","1800:C_0805",""
"C14","0.1uF","1800:C_0805",""
"C15","0.1uF","1800:C_0805",""
"C16","0.1uF","1800:C_0805",""
"C17","0.1uF","1800:C_0805",""
"C18","0.1uF","1800:C_0805",""
"C19","1uF","1800:C_0805",""
"C20","1uF","1800:C_0805",""
"C21","1uF","1800:C_0805",""
"Y2","12MHz","1800:X_SMD_5032-2pin_5.0x3.2mm",""
"C22","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C23","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C24","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C25","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C26","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C27","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
"C28","100uF","1800:CP_Tantalum_Case-C_EIA-6032-28_Reflow",""
